,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",Will Shanklin,Apple says the iPhone 15’s battery has double the promised lifespan,"Apple has updated the iPhone 15’s battery lifespan. The company said on Tuesday its latest iPhones can retain 80 percent of their original charging capacity after 1,000 cycles — double the company’s previous estimate — without any new hardware or software upd…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a5059b3b-88e1-4fc5-a2cd-5872f33048b3,,2024-02-20T21:37:37Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 241 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",Karissa Bell,Snap is recalling its Pixy drone after battery fire,"Snap is recalling
 all of its Pixy drones after four reports of its batteries overheating, according to the company and the Consumer Product Safety Commission (CPSC). The company says it will issue refunds to all drone owners who return the device.
“Snap, in…",https://www.engadget.com/snap-is-recalling-its-pixy-drone-after-battery-fire-173731938.html,https://s.yimg.com/ny/api/res/1.2/6Km3.xf9hGh6QUgfW_HbLA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MjI-/https://s.yimg.com/os/creatr-uploaded-images/2024-02/4d983f60-c128-11ee-8bbf-9bdb88681d7d,2024-02-01T17:37:31Z,"Snap is recalling
 all of its Pixy drones after four reports of its batteries overheating, according to the company and the Consumer Product Safety Commission (CPSC). The company says it will issue … [+1012 chars]"
2,"{'id': 'engadget', 'name': 'Engadget'}",Mariella Moon,Anker battery packs and charging accessories are up to 44 percent off,"Anker has an ongoing sale for Presidents' Day at Amazon, and you can grab a bunch of charging accessories you may need at a discount. If you want a 20,000mAh portable charger that's noticeably smaller, slimmer and easier to carry than its peers with the same …",https://www.engadget.com/anker-battery-packs-and-charging-accessories-are-up-to-44-percent-off-113301650.html,https://s.yimg.com/os/creatr-uploaded-images/2024-02/cf50e0d0-cfd2-11ee-bfff-08f8b7f6150a,2024-02-20T11:33:01Z,"Anker has an ongoing sale for Presidents' Day at Amazon, and you can grab a bunch of charging accessories you may need at a discount. If you want a 20,000mAh portable charger that's noticeably smalle… [+2466 chars]"
3,"{'id': None, 'name': 'Yahoo Entertainment'}",Mat Smith,"The Morning After: Foldable iPhone rumors, Rogan’s new Spotify deal and more","Welcome to the weekend. First, read our Vision Pro review, but also try not to look directly at Devindra's Vision Pro avatar. I think it may be cursed. Yes, Apple's vision of the future of computing is here to bleed early adopters of thousands of dollars. I h…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c1961ae0-1d19-4f3c-a776-0f7ae32bdf0b,,2024-02-10T16:00:06Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 243 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
4,"{'id': None, 'name': 'Yahoo Entertainment'}",Mat Smith,The Morning After: Apple has reportedly made multiple foldable iPhone prototypes,"According to The Information, Apple has created two clamshell-style foldable iPhone prototypes, though they’re all in the early stages of development. If Apple were to move forward with foldable iPhones, they likely wouldn’t come to market until at least 2026…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0bbcc33a-85f3-490b-9f19-c77f31e60581,,2024-02-08T12:15:20Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 243 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
5,"{'id': None, 'name': 'Yahoo Entertainment'}",Kris Holt,The official Xbox controller is on sale for $44,"It’s rarely a bad idea to have an extra controller on hand. Being able to switch to another gamepad when the battery runs out is always welcome, and you don't want to be caught short when a buddy wants to hop into a local multiplayer game with you. Being able…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c11d21ed-e382-40b0-ba8c-95e3634fe7db,,2024-02-19T16:00:20Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 242 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
6,"{'id': 'engadget', 'name': 'Engadget'}",Amy Skorheim,Amazon Fire tablets are up to 35 percent off right now,"This may be a good time to buy one of Amazon's latest tablets as many of them are on sale, with discounts of up to 35 percent. The sale brings the 2023 Fire HD 10 down to $95, which is only $15 more than its record low and 32 percent off the $140 list price. …",https://www.engadget.com/amazon-fire-tablets-are-up-to-35-percent-off-right-now-181542666.html,https://s.yimg.com/os/creatr-uploaded-images/2024-02/7a3d67d0-c50f-11ee-afdf-beae0606a297,2024-02-06T18:15:42Z,"This may be a good time to buy one of Amazon's latest tablets as many of them are on sale, with discounts of up to 35 percent. The sale brings the 2023 Fire HD 10 down to $95, which is only $15 more … [+1793 chars]"
7,"{'id': 'engadget', 'name': 'Engadget'}",Lawrence Bonk,Porsche’s all-electric Macan SUV boasts a 381-mile range and up to 621hp,"Porsche just officially revealed the new all-electric Macan SUV, after giving us a little tease last year.
 Along with the reveal, the company dropped specs, pricing information and an approximate release date. 
This looks to be a direct rival to vehicles li…",https://www.engadget.com/porsches-all-electric-macan-suv-boasts-a-381-mile-range-and-up-to-621hp-163940921.html,https://s.yimg.com/ny/api/res/1.2/SuSeC6AhfZgzfuA8VtXxeg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-01/df1a3e50-bb9e-11ee-93ff-0034fd5e68a6,2024-01-25T16:39:40Z,"Porsche just officially revealed the new all-electric Macan SUV, after giving us a little tease last year.
 Along with the reveal, the company dropped specs, pricing information and an approximate r… [+2328 chars]"
8,"{'id': 'engadget', 'name': 'Engadget'}",Lawrence Bonk,Save over $100 on the 10th-gen iPad with two years of AppleCare+,"Apple’s 10th-gen iPad is on sale via Amazon
 as part of a bundle that includes two years of AppleCare+ warranty coverage. The discount brings the price of the 64GB model down to $409 from $518, which is a savings of more than $100. Apple sells the basic iPad…",https://www.engadget.com/save-over-100-on-the-10th-gen-ipad-with-two-years-of-applecare-162654321.html,https://s.yimg.com/ny/api/res/1.2/Vk8oeiKJZbWYpP6bC5796w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDI-/https://s.yimg.com/os/creatr-uploaded-images/2024-02/579e0770-c1e5-11ee-ac7f-d084f0753467,2024-02-02T16:26:54Z,"Apples 10th-gen iPad is on sale via Amazon as part of a bundle that includes two years of AppleCare+ warranty coverage. The discount brings the price of the 64GB model down to $409 from $518, which i… [+1772 chars]"
9,"{'id': None, 'name': 'Yahoo Entertainment'}",Cheyenne MacDonald,A four-pack of Apple AirTags is back on sale for $79,"Thanks to a sale on Amazon right now, you can pick up a few extra Apple AirTags
 at a discount. A four-pack of the Bluetooth trackers is $20 off the normal price of $99, dropping them down to just $79. It’s the best price for a pack of AirTags we’ve seen yet…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e36cb8a1-91be-4f2e-841e-e2121ccb4288,,2024-02-04T15:53:53Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
